topicname,beam,polarization,sideband
ac240_tp_data_1,1,L,L
ac240_tp_data_2,1,L,U
ac240_tp_data_3,1,R,L
ac240_tp_data_4,1,R,U
xffts_power_board01,2,L,U
xffts_power_board02,2,L,L
xffts_power_board03,2,R,U
xffts_power_board04,2,R,L
xffts_power_board05,3,L,U
xffts_power_board06,3,L,L
xffts_power_board07,3,R,U
xffts_power_board08,3,R,L
xffts_power_board09,4,L,U
xffts_power_board10,4,L,L
xffts_power_board11,4,R,U
xffts_power_board12,4,R,L
xffts_power_board13,5,L,U
xffts_power_board14,5,L,L
xffts_power_board15,5,R,U
xffts_power_board16,5,R,L
ac240_spectra_data_1,1,L,L
ac240_spectra_data_2,1,L,U
ac240_spectra_data_3,1,R,L
ac240_spectra_data_4,1,R,U
xffts_board01,2,L,U
xffts_board02,2,L,L
xffts_board03,2,R,U
xffts_board04,2,R,L
xffts_board05,3,L,U
xffts_board06,3,L,L
xffts_board07,3,R,U
xffts_board08,3,R,L
xffts_board09,4,L,U
xffts_board10,4,L,L
xffts_board11,4,R,U
xffts_board12,4,R,L
xffts_board13,5,L,U
xffts_board14,5,L,L
xffts_board15,5,R,U
xffts_board16,5,R,L
